Date,Open,Close,COVID Case,COVID Death,Volume,Value
2020-12-28,0.495,0.495,1594,3,91.247,38.355
2020-12-29,0.495,0.495,1925,2,91.247,38.355
2020-12-30,0.495,0.5,1870,6,91.247,38.355
2020-12-31,0.5,0.49,2525,8,91.247,38.355
2021-01-04,0.49,0.475,1741,7,80.694,36.12
2021-01-05,0.47,0.465,2027,11,80.694,36.12
2021-01-06,0.465,0.47,2593,1,80.694,36.12
2021-01-07,0.47,0.475,3027,8,80.694,36.12
2021-01-08,0.47,0.45,2643,16,80.694,36.12
2021-01-11,0.45,0.465,2232,4,80.694,36.12
2021-01-12,0.45,0.45,3309,4,80.694,36.12
2021-01-13,0.45,0.455,2985,4,80.694,36.12
2021-01-14,0.46,0.46,3337,15,80.694,36.12
2021-01-15,0.46,0.49,3211,8,80.694,36.12
2021-01-18,0.495,0.505,3306,4,80.694,36.12
2021-01-19,0.505,0.5,3631,14,80.694,36.12
2021-01-20,0.5,0.505,4008,11,80.694,36.12
2021-01-21,0.505,0.525,3170,12,80.694,36.12
2021-01-22,0.525,0.555,3631,18,80.694,36.12
2021-01-25,0.55,0.515,3048,11,80.694,36.12
2021-01-26,0.52,0.51,3585,11,80.694,36.12
2021-01-27,0.49,0.505,3680,7,80.694,36.12
2021-01-29,0.5,0.5,5725,16,80.694,36.12
2021-02-02,0.49,0.5,3455,21,80.694,36.12
2021-02-03,0.5,0.495,4284,18,80.694,36.12
2021-02-04,0.5,0.505,4571,17,80.694,36.12
2021-02-05,0.505,0.51,3391,19,80.694,36.12
2021-02-08,0.51,0.5,3100,24,80.694,36.12
2021-02-09,0.5,0.5,2764,13,80.694,36.12
2021-02-10,0.5,0.5,3288,14,80.694,36.12
2021-02-11,0.5,0.485,3384,1,80.694,36.12
2021-02-15,0.485,0.48,2176,11,80.694,36.12
2021-02-16,0.49,0.49,2720,9,80.694,36.12
2021-02-17,0.495,0.5,2998,23,80.694,36.12
2021-02-18,0.5,0.505,2712,1,80.694,36.12
2021-02-19,0.505,0.5,2936,39,80.694,36.12
2021-02-22,0.5,0.495,2192,7,80.694,36.12
2021-02-23,0.495,0.495,2468,20,80.694,36.12
2021-02-24,0.495,0.495,3545,12,80.694,36.12
2021-02-25,0.495,0.495,1924,13,80.694,36.12
2021-02-26,0.495,0.485,2253,10,80.694,36.12
2021-03-01,0.485,0.495,1828,5,80.694,36.12
